한국폴리텍 VI 대학 영남융합기술캠퍼스,0,2338385
한국폴리텍 VI 대학 영주캠퍼스,0,2164000
한국폴리텍 VII 대학 동부산캠퍼스,0,1215000
한국폴리텍 VII 대학 부산캠퍼스,0,2432000
한국폴리텍 VII 대학 울산캠퍼스,0,2432000
한국폴리텍 VII 대학 진주캠퍼스,0,0
한국폴리텍 VII 대학 창원캠퍼스,0,2432000
한국폴리텍 특성화대학 로봇캠퍼스,0,1082000
한국폴리텍 특성화대학 바이오캠퍼스,0,2595000
한국폴리텍 특성화대학 반도체융합캠퍼스,0,2432000
한국폴리텍 특성화대학 항공캠퍼스,0,2433500
한국항공대학교,184000,8465834
한국해양대학교,0,3725433
한남대학교,0,7230646
한동대학교,180000,7079123
한라대학교,0,7134667
한림대학교,183800,7483254
한림성심대학교,217500,5634247
한밭대학교,0,4470025
한서대학교,0,7971066
한성대학교,164000,7741776
한세대학교,189000,8108105
한신대학교,185200,7194196
한양대학교,195000,8486720
한양사이버대학교,99000,2768017
한양여자대학교,251000,6090213
한영대학교,181500,5386979
한일장신대학교,0,6439009
협성대학교,160000,7390241
혜전대학교,165000,5759073
호남대학교,0,6574695
호남신학대학교,0,6738049
호산대학교,209500,5684265
호서대학교,0,7761606
호원대학교,0,6949734
홍익대학교,199200,8372669
화신사이버대학교,99000,2413237
