"","","","","","","",""
김천대학교,본교,경북,사립,경상북도 김천시 대학로 214 (삼락동. 김천대학교) ,www.gimcheon.ac.kr,054-420-4000,054-420-4003
김포대학교,본교,경기,사립,경기도 김포시 월곶면 김포대학로 97 (포내리. 김포대학교) ,ukp.ac.kr,031-999-4725,031-989-4389
김해대학교,본교,경남,사립,경상남도 김해시 삼안로112번길 198 (삼방동. 김해대학교) ,www.gimhae.ac.kr,055-320-1600,055-320-1666
나사렛대학교,본교,충남,사립,충청남도 천안시 서북구 월봉로 48 (쌍용동. 나사렛대학교) ,www.kornu.ac.kr,041-570-7871,041-570-7725
남부대학교,본교,광주,사립,광주광역시 광산구 남부대길 1 (월계동) ,www.nambu.ac.kr,062-970-0001,062-972-6200
남서울대학교,본교,충남,사립,충청남도 천안시 서북구 성환읍 대학로 91 (매주리. 남서울대학교) ,www.nsu.ac.kr/,041-580-2000,041-582-2117
농협대학교,본교,경기,사립,경기도 고양시 덕양구 서삼릉길 281 (원당동. 농협대학) ,www.nonghyup.ac.kr,031-960-4000,031-960-4333
단국대학교,본교,경기,사립,경기도 용인시 수지구 죽전로 152 (죽전동. 단국대학교) ,www.dankook.ac.kr,1899-3700,031-8021-7106
단국대학교,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119 (안서동. 단국대학교천안캠퍼스) ,www.dankook.ac.kr,1899-3700,031-8021-7106
대경대학교,본교,경북,사립,경상북도 경산시 자인면 단북1길 65 (단북리. 대경대학) ,www.tk.ac.kr,053-850-1000,053-850-1214
대구가톨릭대학교,본교,경북,사립,경상북도 경산시 하양읍 하양로 13-13 (금락리. 대구가톨릭대학교) ,www.cu.ac.kr,053-850-3114,053-359-7000
대구경북과학기술원,본교,대구,특별법법인,대구광역시 달성군 현풍면 테크노중앙대로 333 (상리) ,www.dgist.ac.kr,053-785-0114,053-785-1219
대구공업대학교,본교,대구,사립,대구광역시 달서구 송현로 205 (본동. 대구공업대학) ,www.ttc.ac.kr,053-527-0501-5,053-527-0506
대구과학대학교,본교,대구,사립,대구광역시 북구 영송로 47 (태전동. 대구과학대학) ,www.tsu.ac.kr,053-320-1114,053-320-1045
대구교육대학교,본교,대구,국립,대구광역시 남구 중앙대로 219 (대명동. 대구교육대학교) ,www.dnue.ac.kr,053-620-1202,053-651-5369
대구대학교,본교,경북,사립,경상북도 경산시 진량읍 대구대로 201 (내리리. 대구대학교경산캠퍼스) ,www.daegu.ac.kr,053-850-5000,053-850-5009
대구보건대학교,본교,대구,사립,대구광역시 북구 영송로 15 (태전동. 대구보건대학) ,www.dhc.ac.kr,053-320-1300,053-320-1239
대구사이버대학교,본교,경북,사립,경상북도 경산시 진량읍 대구대로 201 (내리리. 대구대학교경산캠퍼스) ,www.dcu.ac.kr,053-859-7500,053-859-7599
대구예술대학교,본교,경북,사립,경상북도 칠곡군 가산면 다부거문1길 202 (다부리. 대구예술대학교) ,www.dgau.ac.kr,054-970-5311,054-973-5319
대구한의대학교,본교,경북,사립,경상북도 경산시 한의대로 1 (유곡동. 대구한의대학교) ,www.dhu.ac.kr,053-819-1000,053-819-1258
대덕대학교,본교,대전,사립,대전광역시 유성구 가정북로 68 (장동. 대덕대학) ,www.ddu.ac.kr,042-866-0200.0487,042-866-0445
대동대학교,본교,부산,사립,부산광역시 금정구 동부곡로27번길 88 (부곡동. 대동대학교) ,www.daedong.ac.kr,051-518-5444,051-514-5847
대림대학교,본교,경기,사립,경기도 안양시 동안구 임곡로 29 (비산동. 대림대학교) ,www.daelim.ac.kr,031-467-4756,031-446-8729
대신대학교,본교,경북,사립,경상북도 경산시 경청로222길 33 (백천동. 대신대학교) ,www.daeshin.ac.kr,053-810-0701,053-813-0006
대원대학교,본교,충북,사립,충청북도 제천시 대학로 316 (신월동. 대원대학) ,www.daewon.ac.kr,043-645-9171,043-645-9170
대전가톨릭대학교,본교,세종,사립,세종특별자치시 전의면 가톨릭대학로 30 (신방리. 대전가톨릭대학교) ,dcatholic.ac.kr,044-861-7101,044-861-7106
대전과학기술대학교,본교,대전,사립,대전광역시 서구 혜천로 100 (복수동. 대전과학기술대학교) ,www.dst.ac.kr,042-580-6114,042-580-6159
대전대학교,본교,대전,사립,대전광역시 동구 대학로 62 (용운동. 대전대학교) ,www.dju.ac.kr,042-280-2114,042-283-8808
대전보건대학교,본교,대전,사립,대전광역시 동구 충정로 21 (가양동. 대전보건대학) ,www.hit.ac.kr,042-670-9000,042-670-9049
대전신학대학교,본교,대전,사립,대전광역시 대덕구 한남로 41 (오정동. 대전신학대학교) ,www.daejeon.ac.kr,042-606-0114,042-621-0821
대진대학교,본교,경기,사립,경기도 포천시 호국로 1007 (선단동. 대진대학교) ,www.daejin.ac.kr,031-539-1114,031-539-1115
덕성여자대학교,본교,서울,사립,서울특별시 도봉구 삼양로144길 33 (쌍문동. 덕성여자대학교) ,www.duksung.ac.kr,02-901-8000,02-908-2251
동강대학교,본교,광주,사립,광주광역시 북구 동문대로 50 (풍향동. 동강대학) ,www.dkc.ac.kr,062-520-2212,062-520-2216
동국대학교,본교,서울,사립,서울특별시 중구 필동로1길 30 (장충동2가. 동국대학교) ,www.dongguk.edu,02-2260-3114,02-2277-1274
동국대학교(경주),분교,경북,사립,경상북도 경주시 동대로 123 (석장동. 동국대학교경주캠퍼스) ,web.dongguk.ac.kr,054-770-2844,054-770-2846
동남보건대학교,본교,경기,사립,경기도 수원시 장안구 천천로74번길 50 (정자동. 동남보건전문대학) ,www.dongnam.ac.kr,031-249-6333,031-249-6349
동덕여자대학교,본교,서울,사립,서울특별시 성북구 화랑로13길 60 (하월곡동. 동덕여자대학교) ,www.dongduk.ac.kr,02-940-4000,02-940-4182
동명대학교,본교,부산,사립,부산광역시 남구 신선로 428 (용당동. 동명대학교) ,www.tu.ac.kr,051-629-1000,051-629-0619
동서대학교,본교,부산,사립,부산광역시 사상구 주례로 47 (주례동. 동서대학교) ,www.dongseo.ac.kr,051-313-2001~4,051-313-1046
동서울대학교,본교,경기,사립,경기도 성남시 수정구 복정로 76 (복정동. 동서울대학) ,www.du.ac.kr,031-720-2114,031-721-1999
동신대학교,본교,전남,사립,전라남도 나주시 동신대길 67 (대호동) ,www.dsu.ac.kr,061-330-3114,061-330-2909
동아대학교,본교,부산,사립,부산광역시 사하구 낙동대로550번길 37 (하단동. 동아대학교) ,www.donga.ac.kr,051-200-6114,051-205-5788
동아방송예술대학교,본교,경기,사립,경기도 안성시 삼죽면 동아예대길 47 (진촌리. 동아방송예술대학교) ,www.dima.ac.kr,031-670-6600,031-670-6879
동아보건대학교,본교,전남,사립,전라남도 영암군 학산면 영산로 76-57 (독천리. 동아보건대학교) ,www.duh.ac.kr,061-470-1700,061-470-1615
동양대학교,본교,경북,사립,경상북도 영주시 풍기읍 동양대로 145 (산법리. 동양대학교) ,www.dyu.ac.kr,054-630-1114,054-636-8523
동양미래대학교,본교,서울,사립,서울특별시 구로구 경인로 445 (고척동. 동양미래대학) ,www.dongyang.ac.kr/,02-2610-1700,02-2688-5494
동원과학기술대학교,본교,경남,사립,경상남도 양산시 명곡로 321 (명곡동. 동원과학기술대학교) ,www.dist.ac.kr,055-370-8100,055-386-2000
동원대학교,본교,경기,사립,경기도 광주시 곤지암읍 경충대로 26 (신촌리. 동원대학) ,www.tw.ac.kr,1544-4114,031-763-9149
동의과학대학교,본교,부산,사립,부산광역시 부산진구 양지로 54 (양정동. 동의과학대학) ,www.dit.ac.kr,051-852-0011~3,051-860-3270
동의대학교,본교,부산,사립,부산광역시 부산진구 엄광로 176 (가야동. 동의대학교) ,www.deu.ac.kr,051-890-1114,051-890-1234
동주대학교,본교,부산,사립,부산광역시 사하구 사리로55번길 16 (괴정동. 동주대학) ,www.dongju.ac.kr,051-200-3300,051-201-5420
두원공과대학교,본교,경기,사립,경기도 안성시 죽산면 관음당길 51 (장원리. 두원공과대학교) ,www.doowon.ac.kr,031-8056-7000,031-8056-7100
디지털서울문화예술대학교,본교,서울,사립,서울특별시 서대문구 통일로37길 60 (홍제동. 디지털서울문화예술대학교) ,www.scau.ac.kr,02-2287-0353,02-6902-0659
루터대학교,본교,경기,사립,경기도 용인시 기흥구 금화로82번길 20 (상갈동. 루터대학교) ,www.ltu.ac.kr,031-679-2300,031-283-1505
마산대학교,본교,경남,사립,경상남도 창원시 마산회원구 내서읍 함마대로 2640 (용담리. 마산대학) ,www.masan.ac.kr,055-230-1212,055-231-1177
명지대학교,본교,경기,사립,경기도 용인시 처인구 명지로 116 (남동. 명지대학교용인캠퍼스) ,www.mju.ac.kr,1577-0020,031-332-2459
명지대학교,제2캠퍼스,서울,사립,서울특별시 서대문구 거북골로 34 (남가좌동. 명지대학교) ,www.mju.ac.kr,1577-0020,02-300-1556
명지전문대학,본교,서울,사립,서울특별시 서대문구 가좌로 134 (홍은동. 명지전문대학) ,www.mjc.ac.kr,02-300-1000,02-304-4832
목원대학교,본교,대전,사립,대전광역시 서구 도안북로 88 (도안동. 목원대학교) ,www.mokwon.ac.kr,042-829-7114,042-825-5020
목포가톨릭대학교,본교,전남,사립,전라남도 목포시 영산로 697 (석현동. 목포가톨릭대학교) ,www.mcu.ac.kr,061-280-5102,061-280-5109
목포과학대학교,본교,전남,사립,전라남도 목포시 영산로 413-1 (상동. 목포과학대학) ,www.msu.ac.kr,061-278-8651~8,061-279-8838
목포대학교,본교,전남,국립,전라남도 무안군 청계면 영산로 1666 (도림리. 목포대학교) ,www.mokpo.ac.kr,061-450-2114,061-452-4793
목포해양대학교,본교,전남,국립,전라남도 목포시 해양대학로 91 (죽교동. 목포해양대학교) ,www.mmu.ac.kr,061-240-7114,061-242-5176
문경대학교,본교,경북,사립,경상북도 문경시 호계면 대학길 161 (별암리) ,www.mkc.ac.kr,054-559-1114,054-559-1059
배재대학교,본교,대전,사립,대전광역시 서구 배재로 155-40 (도마동. 배재대학교) ,www.pcu.ac.kr,042-520-5114,042-533-7354
배화여자대학교,본교,서울,사립,서울특별시 종로구 필운대로1길 34 (필운동. 배화여자대학) ,www.baewha.ac.kr,02-399-0700,02-737-8431
백석대학교,본교,충남,사립,충청남도 천안시 동남구 백석대학로 1 (안서동) ,www.bu.ac.kr,041-550-9114,041-550-9113
백석문화대학교,본교,충남,사립,충청남도 천안시 동남구 백석대학로 1 (안서동) ,www.bscu.ac.kr,041-550-0700,041-550-9113
백제예술대학교,본교,전북,사립,전라북도 완주군 봉동읍 백제대학로 171 (제내리. 백제예술대학) ,www.paekche.ac.kr,063-260-9114,063-263-3607
부경대학교,본교,부산,국립,부산광역시 남구 용소로 45 (대연동. 부경대학교대연캠퍼스) ,www.pknu.ac.kr,051-629-4114,051-629-5089
부산가톨릭대학교,본교,부산,사립,부산광역시 금정구 오륜대로 57 (부곡동. 부산가톨릭대학교) ,www.cup.ac.kr,051-515-5811,051-514-1576
부산경상대학교,본교,부산,사립,부산광역시 연제구 고분로 170 (연산동. 부산경상대학) ,www.bsks.ac.kr,051-850-1000,051-850-1133
부산과학기술대학교,본교,부산,사립,부산광역시 북구 시랑로132번길 88 (구포동. 부산과학기술대학교) ,bist.ac.kr,051-334-6666,051-330-7027
부산교육대학교,본교,부산,국립,부산광역시 연제구 교대로 24 (거제동. 부산교육대학교) 교무처,www.bnue.ac.kr,051-500-7141,051-505-4908
부산대학교,본교,부산,국립,부산광역시 금정구 부산대학로63번길 2 (장전동. 부산대학교) ,www.pusan.ac.kr,051-512-0311,051-512-3368
부산디지털대학교,본교,부산,사립,부산광역시 사상구 주례로 57 (주례동. 부산디지털대학교) ,www.bdu.ac.kr,051-320-2785,051-320-2787
부산여자대학교,본교,부산,사립,부산광역시 부산진구 진남로 506 (양정동. 부산여자대학) ,www.bwc.ac.kr,051)852-0081~5,051)867-4705
부산예술대학교,본교,부산,사립,부산광역시 남구 못골번영로71번길 74 (대연동. 부산예술대학) ,www.busanarts.ac.kr,051-628-3991,051-628-2719
부산외국어대학교,본교,부산,사립,부산광역시 금정구 금샘로485번길 65 (남산동. 부산외국어대학교) ,www.bufs.ac.kr,051-509-5000,051-509-5005
부산장신대학교,본교,경남,사립,경상남도 김해시 김해대로 1894-68 (구산동) ,www.bpu.ac.kr,055-320-2500,055-339-1161
부천대학교,본교,경기,사립,경기도 부천시 원미구 신흥로56번길 25 (심곡동. 부천대학) ,www.bc.ac.kr,032-610-0114,032-663-0114
사이버한국외국어대학교,본교,서울,사립,서울특별시 동대문구 이문로 107 (이문동. 한국외국어대학교) ,www.cufs.ac.kr,02-2173-2580,02-966-6183
삼육대학교,본교,서울,사립,서울특별시 노원구 화랑로 815 (공릉동. 삼육대학교) ,www.syu.ac.kr,02-3399-3636,02-979-5318
삼육보건대학교,본교,서울,사립,서울특별시 동대문구 망우로 82 (휘경동. 삼육보건대학) 삼육보건대학교,www.shu.ac.kr,02-2212-0082,02-2215-2380
상명대학교,본교,서울,사립,서울특별시 종로구 홍지문2길 20 (홍지동. 상명대학교) ,www.smu.ac.kr,02-2287-5114,02-2287-0015
상명대학교,제2캠퍼스,충남,사립,충청남도 천안시 동남구 상명대길 31 (안서동. 상명대학교천안캠퍼스) ,www.smuc.ac.kr,041-550-5114,041-550-5032
상지대학교,본교,강원,사립,강원도 원주시 상지대길 83 (우산동. 상지대학교) ,www.sangji.ac.kr,033-730-0114,033-745-2433
서강대학교,본교,서울,사립,서울특별시 마포구 백범로 35 (신수동. 서강대학교) ,www.sogang.ac.kr,02-705-8114,02-705-8112
서경대학교,본교,서울,사립,서울특별시 성북구 서경로 124 (정릉동. 서경대학교) ,www.skuniv.ac.kr,02-940-7114,02-919-0345
서라벌대학교,본교,경북,사립,경상북도 경주시 태종로 478-20 (충효동. 서라벌대학) ,home.sorabol.ac.kr/,054-770-3500,054-741-5429
서영대학교,본교,광주,사립,광주광역시 북구 서강로 1 (운암동. 서영대학교) ,www.seoyeong.ac.kr,062-520-5114,062-523-4606
서울과학기술대학교,본교,서울,국립,서울특별시 노원구 공릉로 232 (공릉동. 서울과학기술대학교) ,www.seoultech.ac.kr,02-970-6114,02-970-6088
서울교육대학교,본교,서울,국립,서울특별시 서초구 서초중앙로 96 (서초동. 서울교육대학교) ,www.snue.ac.kr,02-3475-2114,02-581-7711
서울기독대학교,본교,서울,사립,서울특별시 은평구 갈현로4길 26-2 (신사동. 서울기독대학교) ,www.scu.ac.kr,02-380-2500,02-380-2535
서울대학교,본교,서울,국립대법인,서울특별시 관악구 관악로 1 (신림동. 서울대학교) ,www.snu.ac.kr,02-880-5114,02-885-5272
